placa,marca,modelo,anio,kilometraje,color,descripcion
ABC123,Toyota,Corolla,2022,15000,Blanco,Sedan ejecutivo excelente estado
BCD456,Honda,Civic,2021,25000,Negro,Sedan familiar muy cuidado
CDE567,Chevrolet,Spark,2020,45000,Rojo,Automovil compacto ideal ciudad
DEF678,Ford,Explorer,2019,60000,Azul,SUV familiar 7 pasajeros
EFG789,Nissan,Sentra,2021,30000,Gris,Sedan moderno seminuevo
FGH890,Toyota,RAV4,2020,40000,Plata,SUV compacto automático
GHI901,Mazda,CX-5,2022,12000,Blanco,SUV lujo full equipo
HIJ012,Hyundai,Tucson,2021,35000,Negro,SUV moderno muy equipado
IJK123,Volkswagen,Jetta,2020,50000,Gris,Sedan alemán excelente
JKL234,Kia,Forte,2022,18000,Rojo,Sedan moderno garantia

